COD_LOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPO_MAD,TCH_REAL,cc_MAD,DIASMAD,EDAD,DIASSUP,MES_CORTE,CORE
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,127.04
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,128.49
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,137.91
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,130.06
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,131.27
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,135.85
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,131.5
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,130.81
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,131.05
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,130.52
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,143.76
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,136.55
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,140.86
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,136.12
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,138.76
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,125.68
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,124.11
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,138.83
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,122.98
