VARIEDAD;CLAS COR;DISTSUR;TIPO DE SUELO;RIEGO;FRACC REAL;KG N REAL;KG P REAL;KG K REAL;KG Zn REAL;Total mm;1re Fase INV mm;2da Fase Inv;Edad 1re Fase Inv;Edad 2da Fase Inv;RANGO EDAD 1re Fase7;RANGO EDAD 2da Fase;RIEGO 02;TALLOS BIOMETRIA
RB867515;2.00;2.20;Arcilloso;Goteo;5.00;1088.30;465.34;585.96;211.84;2368.00;894.00;1474.00;5.23;9.76;Mayor de 4;Mayor a 5;Con Riego;9.35
RB867515;0.00;2.20;Franco Arcillo Arenoso;Goteo;6.00;1381.46;635.40;741.30;158.86;2323.00;1107.00;1216.00;4.87;9.40;Mayor de 4;Mayor a 5;Con Riego;15.27
RB867515;2.00;2.20;Arcilloso;Goteo;6.00;538.18;174.00;208.80;52.20;2396.50;962.50;1434.00;5.82;10.36;Mayor de 4;Mayor a 5;Con Riego;11.40
RB867515;0.00;2.20;Franco Arcillo Arenoso;Goteo;6.00;823.01;481.20;561.40;120.30;2396.50;962.50;1434.00;5.98;10.52;Mayor de 4;Mayor a 5;Con Riego;13.60
RB867515;2.00;2.20;Franco Arcillo Arenoso;Goteo;6.00;1060.34;394.00;472.80;118.20;2414.00;927.00;1487.00;6.48;11.01;Mayor de 4;Mayor a 5;Con Riego;12.40
RB867515;0.00;2.20;Franco Arcillo Arenoso;Goteo;6.00;1614.17;733.80;857.60;183.46;2596.00;1040.00;1556.00;5.56;10.09;Mayor de 4;Mayor a 5;Con Riego;12.85
RB867515;2.00;2.20;Franco Arenoso;Goteo;6.00;914.12;305.00;366.00;91.50;2411.00;922.00;1489.00;5.16;9.70;Mayor de 4;Mayor a 5;Con Riego;16.80
RB867515;3.00;2.20;Franco Arenoso;Goteo;6.00;565.56;193.51;232.20;58.06;2368.00;894.00;1474.00;5.56;10.09;Mayor de 4;Mayor a 5;Con Riego;13.00
RB867515;2.00;2.20;Arcilloso;Goteo;1.00;2185.15;1272.50;1527.00;381.75;2279.00;886.00;1393.00;3.55;8.09;De 3 a 4;Mayor a 5;Con Riego;11.83
RB867515;2.00;2.20;Franco Arcilloso;Goteo;1.00;332.26;158.50;190.20;47.55;2361.00;900.00;1461.00;3.58;8.12;De 3 a 4;Mayor a 5;Con Riego;12.00
RB867515;2.00;2.20;Franco Arcillo Arenoso;Goteo;1.00;445.50;184.00;220.80;55.22;2361.00;900.00;1461.00;3.62;8.15;De 3 a 4;Mayor a 5;Con Riego;13.20
RB867515;1.00;2.20;Franco;Goteo;2.00;2557.77;1405.50;1686.31;421.65;1824.50;583.00;1241.50;3.48;8.02;De 3 a 4;Mayor a 5;Con Riego;12.37
RB867515;0.00;2.20;Franco Arcilloso;Goteo;2.00;1861.35;1464.60;1708.45;365.65;2040.00;984.00;1056.00;2.96;7.50;De 2 a 3;Mayor a 5;Con Riego;12.33
RB867515;0.00;2.20;Arcilloso;Goteo;2.00;1544.13;1047.00;1221.50;261.75;2108.50;898.50;1210.00;2.93;7.46;De 2 a 3;Mayor a 5;Con Riego;10.20
RB867515;2.00;2.20;Franco Arcillo Arenoso;Goteo;2.00;525.55;209.50;250.68;85.35;2361.00;900.00;1461.00;3.62;8.15;De 3 a 4;Mayor a 5;Con Riego;15.00
RB867515;2.00;2.20;Franco Arcilloso;Goteo;2.00;1777.78;0.00;970.80;242.70;2290.00;923.00;1367.00;3.71;8.25;De 3 a 4;Mayor a 5;Con Riego;16.33
RB867515;2.00;2.20;Franco Arcillo Arenoso;Goteo;2.00;1625.42;620.50;744.60;186.15;2290.00;923.00;1367.00;3.62;8.15;De 3 a 4;Mayor a 5;Con Riego;12.40
RB867515;1.00;2.20;Arcilloso;Goteo;4.00;421.26;183.50;220.20;55.05;2203.00;930.00;1273.00;4.40;8.94;Mayor de 4;Mayor a 5;Con Riego;13.58
RB867515;2.00;2.20;Franco Arcilloso;Goteo;4.00;2130.58;964.51;1157.40;289.35;2205.50;915.50;1290.00;4.40;8.94;Mayor de 4;Mayor a 5;Con Riego;15.50
RB867515;2.00;2.20;Franco Arcilloso;Goteo;4.00;3253.79;1429.52;1715.40;428.86;2205.50;915.50;1290.00;4.40;8.94;Mayor de 4;Mayor a 5;Con Riego;14.17
RB867515;2.00;2.20;Franco Arcillo Arenoso;Goteo;4.00;651.56;435.00;522.00;130.50;2540.00;870.00;1670.00;4.40;8.94;Mayor de 4;Mayor a 5;Con Riego;12.70
RB867515;0.00;2.20;Franco Arcillo Arenoso;Goteo;4.00;229.99;111.60;130.20;27.90;2371.00;849.00;1522.00;5.39;9.93;Mayor de 4;Mayor a 5;Con Riego;15.95
RB867515;2.00;2.20;Franco Arcillo Arenoso;Goteo;4.00;260.01;157.50;189.00;47.25;2371.00;849.00;1522.00;4.47;9.01;Mayor de 4;Mayor a 5;Con Riego;14.00
RB867515;2.00;2.20;Franco Arcillo Arenoso;Goteo;4.00;1735.24;861.51;1033.80;258.46;2392.00;862.00;1530.00;4.50;9.04;Mayor de 4;Mayor a 5;Con Riego;10.45
RB867515;2.00;2.20;Franco Arcilloso;Goteo;4.00;1320.86;785.00;942.00;235.50;2379.00;659.00;1720.00;4.37;8.91;Mayor de 4;Mayor a 5;Con Riego;12.53
RB867515;2.00;2.20;Franco Arcillo Arenoso;Goteo;6.00;1256.52;648.51;778.20;194.56;2203.00;930.00;1273.00;5.98;10.52;Mayor de 4;Mayor a 5;Con Riego;15.50
RB867515;5.00;2.20;Franco Arenoso;Goteo;6.00;803.90;232.52;279.00;69.74;2158.00;904.00;1254.00;6.34;10.88;Mayor de 4;Mayor a 5;Con Riego;15.65
RB867515;6.00;2.40;Franco Arcilloso;Goteo;6.00;388.27;235.00;282.00;70.50;2108.50;898.50;1210.00;5.56;10.09;Mayor de 4;Mayor a 5;Con Riego;11.95
RB867515;0.00;1.65;Franco Arcilloso;Gravedad;1.00;538.44;0.00;0.00;0.00;1898.40;706.00;1192.40;3.88;8.42;De 3 a 4;Mayor a 5;Con Riego;6.50
RB867515;3.00;1.50;Franco Arenoso;Gravedad;1.00;63.85;0.00;0.00;0.00;1943.40;827.80;1115.60;2.63;7.17;De 2 a 3;Mayor a 5;Con Riego;10.88
RB867515;0.00;1.65;Franco Arenoso;Gravedad;1.00;752.73;0.00;0.00;0.00;1939.30;735.90;1203.40;3.75;8.28;De 3 a 4;Mayor a 5;Con Riego;9.90
RB867515;3.00;1.50;Franco Arcilloso;Gravedad;1.00;104.46;0.00;0.00;0.00;2145.90;899.80;1246.10;4.44;8.97;Mayor de 4;Mayor a 5;Con Riego;7.40
RB867515;5.00;1.50;Franco Arcilloso;Gravedad;1.00;566.78;0.00;0.00;0.00;2145.90;899.80;1246.10;6.34;10.88;Mayor de 4;Mayor a 5;Con Riego;8.10
RB867515;3.00;1.50;Franco Arcilloso;Gravedad;1.00;225.80;0.00;0.00;0.00;2145.90;899.80;1246.10;6.34;10.88;Mayor de 4;Mayor a 5;Con Riego;7.20
RB867515;2.00;1.65;Franco;Gravedad;1.00;1420.11;0.00;0.00;0.00;2215.60;879.30;1336.30;6.61;11.14;Mayor de 4;Mayor a 5;Con Riego;9.89
RB867515;2.00;1.65;Franco Arcilloso;Gravedad;1.00;1259.75;0.00;0.00;0.00;2056.90;866.10;1190.80;6.71;11.24;Mayor de 4;Mayor a 5;Con Riego;9.10
