CICLO,ZONA,CF,FINCA,COD CAM,CAMPO,HA,VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,Dias Resiembra,KgN Ha,Edad Corte,Suspension,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
2122,2,50,Montelimar-02,50140,M-11, 3.59 , CP08-2256 ,4.00, 2.20 , Franco Arenoso , Goteo ,30%,33.00,127.76,10.36,21.00,70.68,93.00,88.64
2122,2,50,Montelimar-02,50153,V-01, 4.29 , CG04-10295 ,2.00, 1.50 , Franco Arenoso , Gravedad ,28%,32.00,151.08,10.45,43.00,87.22,100.00,80.45
2122,2,50,Montelimar-02,50154,V-02, 11.30 , CG04-10295 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,17%,19.00,125.44,10.06,32.00,72.34,95.00,66.10
2122,2,50,Montelimar-02,50156,V-04, 5.24 , CP72-2086 ,4.00, 2.20 , Franco Arenoso , Goteo ,54%,37.00,125.86,9.66,3.00,94.56,80.00,83.75
2122,2,50,Montelimar-02,50158,V-06, 3.87 , RB86-7515 ,2.00, 2.20 , Franco Arenoso , Goteo ,40%,39.00,172.66,10.75,33.00,109.81,120.00,96.27
2122,2,50,Montelimar-02,50159,V-07, 1.59 , NA56-42 ,4.00, 2.20 , Franco Arenoso , Goteo ,49%,34.00,147.56,12.36,35.00,129.51,117.00,132.42
2122,2,50,Montelimar-02,50160,V-08, 3.95 , RB86-7515 ,1.00, 1.65 , Arcilloso , Gravedad ,27%,37.00,109.56,12.00,44.00,93.52,90.00,99.13
2122,2,50,Montelimar-02,50184,V-08A, 1.21 , RB86-7515 ,1.00, 1.65 , Arcilloso , Gravedad ,6%,28.00,250.90,9.53,39.00,76.82,95.00,82.93
2122,2,50,Montelimar-02,50161,V-09, 8.98 , RB86-7515 ,1.00, 2.20 , Arcilloso , Goteo ,24%,28.00,118.70,9.43,25.00,59.72,90.00,57.97
2122,3,84,Azacualpa,84004,A-04, 77.32 , CP89-2143 ,4.00, 2.20 , Franco Arenoso , Goteo ,39%,48.00,125.90,10.52,21.00,89.32,92.00,62.84
2122,3,64,Buen Suceso,64012,S-03, 13.96 , CP72-2086 ,7.00, 1.90 , Franco Arcillo Arenoso , Goteo ,52%,53.00,125.59,13.61,111.00,81.18,75.00,61.13
2122,3,64,Buen Suceso,64019,S-10, 2.51 , CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,36%,36.00,103.06,12.39,76.00,65.91,80.00,61.86
2122,3,64,Buen Suceso,64020,S-11, 1.11 , CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,35%,34.00,103.05,12.39,74.00,65.23,102.00,100.12
2122,3,64,Buen Suceso,64024,S-15, 12.97 , RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,39%,65.00,117.28,9.66,26.00,40.42,80.00,32.00
2122,3,64,Buen Suceso,64029,S-19A, 1.23 , CG02-163 ,3.00, 2.20 , Franco Arcilloso , Goteo ,44%,33.00,68.01,10.82,26.00,85.00,95.00,85.12
2122,3,83,Buen Suceso 2,83001,A-01, 19.14 , CP72-2086 ,3.00, 2.20 , Arcilloso , Goteo ,20%,25.00,150.10,10.72,35.00,116.44,130.00,95.71
