VARIEDAD;CLAS COR;DISTSUR;TIPO DE SUELO;RIEGO;FRACC REAL;KG N REAL;KG P REAL;KG K REAL;KG Zn REAL;Total mm;1re Fase INV mm;2da Fase Inv;Edad 1re Fase Inv;Edad 2da Fase Inv;RANGO EDAD 1re Fase7;RANGO EDAD 2da Fase;RIEGO 02;TALLOS BIOMETRIA
 RB867515 ;2;2.2; Franco Arcillo Arenoso ; Goteo ;6;1060.34;394;472.8;118.2;2414;927;1487;6.48;11.01;Mayor de 4;Mayor a 5; Con Riego ;12.4
 RB867515 ;0;2.2; Franco Arcillo Arenoso ; Goteo ;6;1614.17;733.8;857.6;183.46;2596;1040;1556;5.56;10.09;Mayor de 4;Mayor a 5; Con Riego ;12.85
 RB867515 ;2;2.2; Franco Arenoso ; Goteo ;6;914.12;305;366;91.5;2411;922;1489;5.16;9.7;Mayor de 4;Mayor a 5; Con Riego ;16.8
 RB867515 ;3;2.2; Franco Arenoso ; Goteo ;6;565.56;193.51;232.2;58.06;2368;894;1474;5.56;10.09;Mayor de 4;Mayor a 5; Con Riego ;13
 RB867515 ;2;2.2; Arcilloso ; Goteo ;1;2185.15;1272.5;1527;381.75;2279;886;1393;3.55;8.09;De 3 a 4;Mayor a 5; Con Riego ;11.83
 RB867515 ;2;2.2; Franco Arcilloso ; Goteo ;1;332.26;158.5;190.2;47.55;2361;900;1461;3.58;8.12;De 3 a 4;Mayor a 5; Con Riego ;12
 RB867515 ;2;2.2; Franco Arcillo Arenoso ; Goteo ;1;445.5;184;220.8;55.22;2361;900;1461;3.62;8.15;De 3 a 4;Mayor a 5; Con Riego ;13.2
 RB867515 ;1;2.2; Franco ; Goteo ;2;2557.77;1405.5;1686.31;421.65;1824.5;583;1241.5;3.48;8.02;De 3 a 4;Mayor a 5; Con Riego ;12.37
 RB867515 ;0;2.2; Franco Arcilloso ; Goteo ;2;1861.35;1464.6;1708.45;365.65;2040;984;1056;2.96;7.5;De 2 a 3;Mayor a 5; Con Riego ;12.33
 RB867515 ;0;2.2; Arcilloso ; Goteo ;2;1544.13;1047;1221.5;261.75;2108.5;898.5;1210;2.93;7.46;De 2 a 3;Mayor a 5; Con Riego ;10.2
 RB867515 ;2;2.2; Franco Arcillo Arenoso ; Goteo ;2;525.55;209.5;250.68;85.35;2361;900;1461;3.62;8.15;De 3 a 4;Mayor a 5; Con Riego ;15
 RB867515 ;2;2.2; Franco Arcilloso ; Goteo ;2;1777.78;0;970.8;242.7;2290;923;1367;3.71;8.25;De 3 a 4;Mayor a 5; Con Riego ;16.33
 RB867515 ;2;2.2; Franco Arcillo Arenoso ; Goteo ;2;1625.42;620.5;744.6;186.15;2290;923;1367;3.62;8.15;De 3 a 4;Mayor a 5; Con Riego ;12.4
 RB867515 ;1;2.2; Arcilloso ; Goteo ;4;421.26;183.5;220.2;55.05;2203;930;1273;4.4;8.94;Mayor de 4;Mayor a 5; Con Riego ;13.58
 RB867515 ;2;2.2; Franco Arcilloso ; Goteo ;4;2130.58;964.51;1157.4;289.35;2205.5;915.5;1290;4.4;8.94;Mayor de 4;Mayor a 5; Con Riego ;15.5
 RB867515 ;2;2.2; Franco Arcilloso ; Goteo ;4;3253.79;1429.52;1715.4;428.86;2205.5;915.5;1290;4.4;8.94;Mayor de 4;Mayor a 5; Con Riego ;14.17
 RB867515 ;2;2.2; Franco Arcillo Arenoso ; Goteo ;4;651.56;435;522;130.5;2540;870;1670;4.4;8.94;Mayor de 4;Mayor a 5; Con Riego ;12.7
 RB867515 ;0;2.2; Franco Arcillo Arenoso ; Goteo ;4;229.99;111.6;130.2;27.9;2371;849;1522;5.39;9.93;Mayor de 4;Mayor a 5; Con Riego ;15.95
 RB867515 ;2;2.2; Franco Arcillo Arenoso ; Goteo ;4;260.01;157.5;189;47.25;2371;849;1522;4.47;9.01;Mayor de 4;Mayor a 5; Con Riego ;14
 RB867515 ;2;2.2; Franco Arcillo Arenoso ; Goteo ;4;1735.24;861.51;1033.8;258.46;2392;862;1530;4.5;9.04;Mayor de 4;Mayor a 5; Con Riego ;10.45
 RB867515 ;2;2.2; Franco Arcilloso ; Goteo ;4;1320.86;785;942;235.5;2379;659;1720;4.37;8.91;Mayor de 4;Mayor a 5; Con Riego ;12.53
 RB867515 ;2;2.2; Franco Arcillo Arenoso ; Goteo ;6;1256.52;648.51;778.2;194.56;2203;930;1273;5.98;10.52;Mayor de 4;Mayor a 5; Con Riego ;15.5
 RB867515 ;5;2.2; Franco Arenoso ; Goteo ;6;803.9;232.52;279;69.74;2158;904;1254;6.34;10.88;Mayor de 4;Mayor a 5; Con Riego ;15.65
 RB867515 ;6;2.4; Franco Arcilloso ; Goteo ;6;388.27;235;282;70.5;2108.5;898.5;1210;5.56;10.09;Mayor de 4;Mayor a 5; Con Riego ;11.95
 RB867515 ;0;1.65; Franco Arcilloso ; Gravedad ;1;538.44;0;0;0;1898.4;706;1192.4;3.88;8.42;De 3 a 4;Mayor a 5; Con Riego ;6.5
 RB867515 ;3;1.5; Franco Arenoso ; Gravedad ;1;63.85;0;0;0;1943.4;827.8;1115.6;2.63;7.17;De 2 a 3;Mayor a 5; Con Riego ;10.88
 RB867515 ;0;1.65; Franco Arenoso ; Gravedad ;1;752.73;0;0;0;1939.3;735.9;1203.4;3.75;8.28;De 3 a 4;Mayor a 5; Con Riego ;9.9
 RB867515 ;3;1.5; Franco Arcilloso ; Gravedad ;1;104.46;0;0;0;2145.9;899.8;1246.1;4.44;8.97;Mayor de 4;Mayor a 5; Con Riego ;7.4
 RB867515 ;5;1.5; Franco Arcilloso ; Gravedad ;1;566.78;0;0;0;2145.9;899.8;1246.1;6.34;10.88;Mayor de 4;Mayor a 5; Con Riego ;8.1
 RB867515 ;3;1.5; Franco Arcilloso ; Gravedad ;1;225.8;0;0;0;2145.9;899.8;1246.1;6.34;10.88;Mayor de 4;Mayor a 5; Con Riego ;7.2
 RB867515 ;2;1.65; Franco ; Gravedad ;1;1420.11;0;0;0;2215.6;879.3;1336.3;6.61;11.14;Mayor de 4;Mayor a 5; Con Riego ;9.89
 RB867515 ;2;1.65; Franco Arcilloso ; Gravedad ;1;1259.75;0;0;0;2056.9;866.1;1190.8;6.71;11.24;Mayor de 4;Mayor a 5; Con Riego ;9.1
