COD_LOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPO_MAD,TCH_REAL,cc_MAD,DIASMAD,EDAD,DIASSUP,MES_CORTE,CORE
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,125.330
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,123.610
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,127.360
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,131.030
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,129.680
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,128.060
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,126.830
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,124.300
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,120.840
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,128.310
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,124.640
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,137.930
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,136.330
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,128.790
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,130.540
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,134.420
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,136.060
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,136.520
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,133.440
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,129.130
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,126.090
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,122.480
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,127.320
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,131.870
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,129.860
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,125.970
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,120.890
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,136.270
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,136.010
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,128.690
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,130.320
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,129.830
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,131.480
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,125.770
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,117.850
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,132.220
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,121.530
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,122.150
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,133.730
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,118.350
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.462195924,77,Feb,130.370
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.462195924,77,Feb,129.500
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.462195924,77,Feb,131.830
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,134.640
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.63708087,16,Feb,135.710
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,121.720
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.63708087,16,Feb,132.590
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,139.600
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.63708087,16,Feb,122.550
