VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,Dias Resiembra,KgN Ha,Edad Corte,Suspension,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
 CP89-2143 ,3.00, 2.20 , Arcilloso , Goteo ,40%,31.00,123.38,11.11,37.00,69.55,70.00,60.40
 CP72-2086 ,3.00, 2.20 , Arcilloso , Goteo ,34%,33.00,159.73,11.08,38.00,101.31,105.00,98.89
 CP89-2143 ,3.00, 2.20 , Arcilloso , Goteo ,34%,33.00,124.62,11.24,43.00,86.72,92.50,69.53
 CP88-1165 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,41%,34.00,103.04,11.21,43.00,82.98,80.00,70.35
 CG98-78 ,3.00, 1.90 , Franco , Goteo ,43%,43.00,141.25,11.70,43.00,109.83,82.00,87.08
 CP89-2143 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,31%,24.00,134.78,10.19,4.00,90.61,118.00,87.70
 RB86-7515 ,1.00, 2.20 , Franco Arenoso , Goteo ,43%,35.00,158.76,10.16,11.00,115.07,120.00,102.46
 CP72-2086 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,39%,36.00,150.06,11.05,38.00,129.66,125.00,78.30
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,34%,35.00,103.06,10.49,5.00,91.52,125.00,80.50
 RB86-7515 ,1.00, 2.20 , Franco , Goteo ,51%,35.00,138.08,11.01,38.00,124.76,117.50,79.37
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,53%,35.00,138.06,11.05,42.00,91.16,110.00,81.65
 CP00-1101 ,3.00, 2.20 , Franco Arcilloso , Goteo ,27%,36.00,154.87,11.97,11.00,107.33,110.00,93.26
 CP72-2086 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,36%,35.00,150.10,11.44,29.00,150.63,130.00,125.06
 CP00-1101 ,3.00, 2.20 , Franco Arcilloso , Goteo ,31%,35.00,155.21,11.97,12.00,103.12,90.23,90.66
 CP72-2086 ,2.00, 2.20 , Franco , Goteo ,32%,35.00,166.26,11.54,19.00,132.57,141.00,121.08
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,35%,36.00,172.53,11.47,38.00,148.42,120.00,110.28
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,16%,35.00,103.16,11.18,23.00,80.43,85.00,64.82
 Otras ,3.00, 2.20 , Franco , Goteo ,29%,36.00,132.33,11.21,23.00,87.17,91.00,88.19
 Otras ,3.00, 2.20 , Franco , Goteo ,35%,34.00,152.16,11.08,23.00,94.47,90.00,51.87
 CP88-1165 ,8.00, 2.60 , Franco Arcillo Arenoso , Goteo ,11%,24.00,143.54,9.63,3.00,103.81,112.00,77.82
 CP72-2086 ,6.00, 1.90 , Franco Arcillo Arenoso , Goteo ,39%,45.00,151.52,9.63,3.00,102.60,105.00,122.59
 CP72-2086 ,2.00, 2.60 , Franco Arcillo Arenoso , Goteo ,11%,32.00,150.06,9.60,2.00,133.81,130.00,123.71
 CG04-10295 ,1.00, 2.20 , Franco Arcilloso , Goteo ,10%,20.00,137.75,9.66,12.00,108.34,115.00,109.40
 CG04-10295 ,2.00, 1.90 , Franco Arcillo Arenoso , Goteo ,31%,37.00,145.32,10.49,14.00,142.64,125.00,105.10
 CP72-2086 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,24%,31.00,150.65,10.45,14.00,114.44,115.00,82.84
 CP72-2086 ,3.00, 2.20 , Franco Arcilloso , Goteo ,49%,80.00,152.27,10.49,31.00,85.75,105.00,72.82
 CG04-10295 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,19%,20.00,118.35,11.24,28.00,95.79,115.00,84.76
 CP72-2086 ,5.00, 1.90 , Franco Arcillo Arenoso , Goteo ,48%,30.00,150.37,12.36,31.00,200.11,90.00,81.76
 CP72-2086 ,5.00, 1.90 , Arcilloso , Goteo ,48%,34.00,140.28,10.49,40.00,90.18,95.00,75.75
 NA56-42 ,4.00, 2.20 , Franco Arcilloso , Goteo ,32%,41.00,146.85,10.49,31.00,74.64,95.00,125.71
 CG04-10295 ,1.00, 1.65 , Franco Arenoso , Gravedad ,15%,24.00,125.09,11.05,36.00,134.33,121.00,108.38
 CP08-2256 ,5.00, 1.40 , Franco Arenoso , Gravedad ,30%,21.00,112.28,11.21,58.00,134.13,110.00,107.61
 CG04-10295 ,1.00, 1.65 , Franco Arcillo Arenoso , Gravedad ,8%,21.00,95.03,10.95,47.00,122.16,115.00,79.60
 CP72-2086 ,4.00, 1.50 , Franco Arcilloso , Gravedad ,36%,33.00,126.29,12.26,35.00,114.80,116.00,89.39
 CG04-10295 ,1.00, 1.65 , Franco Arenoso , Gravedad ,16%,21.00,120.26,10.95,47.00,117.94,115.00,91.36
 Otras ,4.00, 1.00 , Franco Arcilloso , Gravedad ,46%,27.00,134.91,11.01,66.00,125.70,102.00,84.99
 NA56-42 ,7.00, 1.75 , Franco Arenoso , Gravedad ,36%,34.00,124.47,12.36,40.00,82.46,107.00,100.22
 CG04-10295 ,1.00, 1.65 , Franco Arenoso , Gravedad ,16%,22.00,128.03,11.11,57.00,106.68,110.00,118.03
 CG04-10295 ,1.00, 1.65 , Franco Arcillo Arenoso , Gravedad ,6%,21.00,123.26,10.95,43.00,113.90,115.00,88.38
 CP72-2086 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,34%,27.00,138.77,10.91,32.00,91.68,122.00,87.76
 NA56-42 ,10.00, 2.60 , Arcilloso , Goteo ,20%,38.00,128.69,10.85,24.00,83.43,117.00,93.61
 CG04-10295 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,14%,21.00,87.83,11.64,39.00,124.78,100.00,86.11
 RB86-7515 ,1.00, 2.20 , Arcilloso , Goteo ,7%,24.00,135.34,8.91,16.00,150.90,100.00,97.64
 CP72-2086 ,2.00, 2.60 , Arcilloso , Goteo ,25%,80.00,73.46,10.16,15.00,54.75,130.00,120.65
 NA56-42 ,4.00, 2.20 , Franco Arcilloso , Goteo ,38%,33.00,117.99,11.60,12.00,114.19,91.00,82.73
 CP72-2086 ,7.00, 1.90 , Franco Arcilloso , Goteo ,50%,42.00,117.68,10.42,12.00,110.49,100.00,116.02
 NA56-42 ,2.00, 2.60 , Franco Arcilloso , Goteo ,51%,30.00,106.21,9.89,1.00,79.24,95.00,94.52
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,22%,29.00,138.04,9.86,2.00,79.32,125.00,113.90
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,71%,26.00,82.84,10.78,33.00,94.61,110.00,64.53
 NA56-42 ,7.00, 1.90 , Franco Arcillo Arenoso , Goteo ,49%,36.00,150.10,10.72,12.00,91.77,118.00,86.64
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,50%,35.00,67.73,11.28,30.00,99.88,110.00,84.45
 NA56-42 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,55%,33.00,150.19,10.75,12.00,80.47,90.00,84.76
 CP73-1547 ,13.00, 1.40 , Franco Arcillo Arenoso , Gravedad ,35%,24.00,103.27,12.23,72.00,88.40,85.00,84.28
 CP72-2086 ,8.00, 1.50 , Franco Arcilloso , Goteo ,36%,33.00,132.46,11.51,23.00,253.96,90.00,94.07
 CP72-2086 ,6.00, 1.90 , Franco Arcillo Arenoso , Goteo ,29%,32.00,122.04,11.51,23.00,132.42,112.00,96.19
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,27%,41.00,150.13,11.31,19.00,96.50,105.00,83.77
 NA56-42 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,29%,35.00,150.27,11.34,20.00,128.45,120.00,110.08
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,21%,21.00,132.22,10.91,21.00,142.87,120.00,92.16
 NA56-42 ,6.00, 1.90 , Franco Arcillo Arenoso , Goteo ,37%,36.00,142.53,11.41,21.00,147.42,120.00,99.63
 NA56-42 ,5.00, 2.20 , Franco Arenoso , Goteo ,45%,26.00,123.53,9.73,13.00,73.70,110.00,81.28
 CP00-1101 ,6.00, 2.20 , Franco Arcilloso , Goteo ,50%,39.00,155.69,11.08,13.00,106.73,123.00,116.83
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,37%,36.00,157.20,11.34,22.00,112.88,120.00,97.70
 CP72-2086 ,1.00, 2.20 , Franco Arcilloso , Gravedad ,25%,30.00,120.81,11.83,70.00,108.82,100.00,106.19
 RB86-7515 ,1.00, 1.65 , Franco Arcillo Arenoso , Gravedad ,34%,38.00,115.44,11.28,23.00,120.15,138.00,107.93
 RB86-7515 ,1.00, 1.65 , Franco Arcillo Arenoso , Gravedad ,20%,25.00,116.60,11.05,36.00,115.69,125.00,111.02
 NA56-42 ,5.00, 1.65 , Franco Arcillo Arenoso , Gravedad ,21%,10.00,121.58,11.77,73.00,74.87,65.00,46.21
 NA56-42 ,7.00, 1.90 , Arcilloso , Goteo ,35%,36.00,125.12,10.75,30.00,97.59,100.00,79.66
 CG04-10295 ,2.00, 2.40 , Franco Arenoso , Goteo ,5%,36.00,108.28,10.75,29.00,88.80,80.00,42.26
 NA56-42 ,9.00, 1.50 , Franco Arenoso , Gravedad ,17%,23.00,150.88,9.93,41.00,81.78,100.00,80.65
 CP72-2086 ,3.00, 1.50 , Franco Arenoso , Gravedad ,31%,25.00,127.12,9.89,41.00,89.63,110.00,85.12
 CG04-10295 ,2.00, 2.20 , Franco Arenoso , Goteo ,15%,27.00,151.64,10.39,22.00,81.05,98.00,57.30
 NA56-42 ,9.00, 2.40 , Franco Arcilloso , Goteo ,50%,27.00,150.10,10.39,23.00,94.51,105.00,70.36
 CG04-10295 ,2.00, 2.20 , Franco Arenoso , Goteo ,21%,32.00,128.82,10.03,28.00,79.20,93.00,76.47
 CG04-10295 ,2.00, 2.20 , Franco Arcilloso , Goteo ,12%,33.00,150.00,10.19,31.00,69.34,95.00,107.64
 CP73-1547 ,6.00, 1.40 , Franco Arenoso , Gravedad ,43%,37.00,147.44,11.83,39.00,132.58,95.00,75.25
 NA56-42 ,2.00, 1.65 , Franco Arenoso , Gravedad ,59%,24.00,144.55,10.32,38.00,133.56,100.00,81.41
 NA56-42 ,9.00, 1.50 , Franco Arenoso , Gravedad ,56%,23.00,151.78,10.32,39.00,96.62,105.00,90.86
 CP89-2143 ,3.00, 2.20 , Franco Arenoso , Goteo ,38%,38.00,156.65,10.16,18.00,101.84,75.00,74.77
 NA56-42 ,9.00, 2.20 , Franco Arcillo Arenoso , Goteo ,23%,20.00,132.33,10.12,22.00,116.73,115.00,103.69
 CP89-2143 ,2.00, 2.20 , Franco Arcilloso , Goteo ,37%,18.00,115.84,11.31,31.00,97.62,97.00,82.80
 CG02-163 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,16%,28.00,117.87,11.60,44.00,87.18,95.00,68.31
 CG04-10295 ,2.00, 2.20 , Franco Arenoso , Goteo ,21%,17.00,147.22,11.90,32.00,105.05,105.00,80.14
 CP72-2086 ,4.00, 1.50 , Franco Arenoso , Gravedad ,46%,25.00,139.62,11.93,56.00,90.95,113.00,86.99
 NA56-42 ,8.00, 1.50 , Franco Arcilloso , Gravedad ,50%,23.00,270.32,10.82,47.00,79.16,87.00,76.06
 CG02-163 ,3.00, 2.20 , Franco Arenoso , Goteo ,44%,26.00,83.51,10.82,21.00,74.44,90.00,72.69
 CG04-10295 ,3.00, 2.20 , Franco Arcilloso , Goteo ,35%,21.00,83.23,10.82,20.00,98.16,105.00,61.29
 RB86-7515 ,1.00, 2.20 , Franco Arenoso , Goteo ,43%,29.00,158.75,10.09,18.00,90.90,125.00,77.92
 CP00-1630 ,3.00, 2.20 , Franco Arenoso , Goteo ,49%,30.00,124.25,11.37,26.00,41.13,75.00,26.58
 CP72-2086 ,3.00, 2.20 , Franco Arenoso , Goteo ,49%,29.00,149.33,11.54,32.00,79.61,110.00,65.06
 CP72-2086 ,7.00, 1.90 , Franco Arenoso , Goteo ,45%,29.00,136.36,10.98,15.00,89.95,90.00,62.44
 CP72-2086 ,4.00, 2.20 , Franco Arenoso , Goteo ,46%,25.00,173.88,10.36,21.00,95.15,92.00,96.34
 RB86-7515 ,1.00, 2.20 , Franco Arenoso , Goteo ,38%,19.00,126.24,11.37,23.00,105.64,115.00,101.49
 CP72-2086 ,3.00, 2.20 , Franco Arenoso , Goteo ,38%,33.00,161.31,10.32,21.00,90.84,95.00,73.57
 CP88-1165 ,4.00, 2.20 , Franco Arenoso , Goteo ,32%,35.00,119.13,11.87,21.00,92.42,85.00,38.22
 CP89-2143 ,3.00, 2.20 , Franco Arenoso , Goteo ,28%,25.00,134.39,10.36,21.00,66.84,80.00,56.76
 NA56-42 ,6.00, 2.40 , Franco Arenoso , Goteo ,42%,33.00,118.94,10.36,21.00,67.62,90.00,83.01
 RB86-7515 ,1.00, 2.20 , Franco Arenoso , Goteo ,37%,19.00,126.44,11.34,23.00,89.07,100.00,72.29
 CP72-2086 ,6.00, 1.90 , Franco Arenoso , Goteo ,43%,33.00,162.11,10.36,22.00,98.39,110.00,76.33
 CP08-2256 ,4.00, 2.20 , Franco Arenoso , Goteo ,30%,33.00,127.76,10.36,21.00,70.68,93.00,88.64
