CODLOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPOMAD,TCHREAL,ccMAD,DIASMAD,EDAD,DIASSUP,MESCORTE,CORE
50157,Montelimar02,V05,MECANIZADA,NA5642,Si,TRINEXAPAC ,111.4907273,11.66016252,59,11.47271532,27,Dic,122.1
50157,Montelimar02,V05,MECANIZADA,NA5642,Si,TRINEXAPAC ,111.4907273,11.66016252,59,11.47271532,27,Dic,122.18
50157,Montelimar02,V05,MECANIZADA,NA5642,Si,TRINEXAPAC ,111.4907273,11.66016252,59,11.47271532,27,Dic,119.02
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,130.33
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,60,11.24260355,41,Dic,119.3
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,128.23
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,60,11.24260355,41,Dic,109
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,124.83
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,60,11.24260355,41,Dic,95.89
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,123.89
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,126.66
50157,Montelimar02,V05,MECANIZADA,NA5642,Si,TRINEXAPAC ,111.4907273,11.66016252,59,11.47271532,27,Dic,108.55
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,60,11.24260355,41,Dic,121.65
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,126.04
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,60,11.24260355,41,Dic,107.49
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,126.31
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,122.05
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,60,11.24260355,41,Dic,117.59
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,60,11.24260355,41,Dic,120.12
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,128.64
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,60,11.24260355,41,Dic,109.83
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,60,11.24260355,41,Dic,116.81
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,133
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,139.35
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,134.56
53151,Montelimar,SAN IGN01,MANUAL,NA5642,Si,GLIFOSATO ALEMAN,87.53190883,13.023822,59,11.47271532,41,Dic,135.81
53151,Montelimar,SAN IGN01,MANUAL,NA5642,Si,GLIFOSATO ALEMAN,87.53190883,13.023822,59,11.47271532,41,Dic,111.97
60003,Vasconia,GTE03,MECANIZADA,CP722086,Si,TRINEXAPAC ,94.80496806,10.23153132,67,11.34122288,27,Dic,134.13
53205,Montelimar,D02A,MECANIZADA,CP082256,Si,GLIFOSATO ALEMAN,91.94832215,13.70334956,42,9.303090072,41,Dic,125.23
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,60,11.24260355,41,Dic,117.43
60029,Vasconia,SITIO03,MECANIZADA,CP881165,Si,TRINEXAPAC ,78.38763231,12.11925877,68,11.63708087,28,Dic,113.66
53205,Montelimar,D02A,MECANIZADA,CP082256,Si,GLIFOSATO ALEMAN,91.94832215,13.70334956,43,9.335963182,42,Dic,125.79
60029,Vasconia,SITIO03,MECANIZADA,CP881165,Si,TRINEXAPAC ,78.38763231,12.11925877,68,11.63708087,28,Dic,115.63
53205,Montelimar,D02A,MECANIZADA,CP082256,Si,GLIFOSATO ALEMAN,91.94832215,13.70334956,43,9.335963182,42,Dic,120.11
60029,Vasconia,SITIO03,MECANIZADA,CP881165,Si,TRINEXAPAC ,78.38763231,12.11925877,68,11.63708087,28,Dic,127.69
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,61,11.27547666,42,Dic,122.71
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,61,11.27547666,42,Dic,117.66
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,61,11.27547666,42,Dic,120.84
60029,Vasconia,SITIO03,MECANIZADA,CP881165,Si,TRINEXAPAC ,78.38763231,12.11925877,68,11.63708087,28,Dic,135.21
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,61,11.27547666,42,Dic,114.68
60031,Vasconia,SITIO05,MECANIZADA,CP892143,Si,GLIFOSATO ALEMAN,91.77991453,11.98519312,52,11.57133465,28,Dic,133.46
53068,Montelimar,D01,MECANIZADA,CG0410295,Si,TRINEXAPAC ,102.8429381,13.90469804,61,11.27547666,42,Dic,96.12
