Date,Total
1/10/2015,0
1/11/2015,0
1/12/2015,0
1/13/2015,0
1/14/2015,0
1/15/2015,0
1/16/2015,0
1/17/2015,0
1/18/2015,0
1/19/2015,0
1/20/2015,0
1/21/2015,0
1/22/2015,0
1/23/2015,0
1/24/2015,0
1/25/2015,0
1/26/2015,0
1/27/2015,0
1/28/2015,0
1/29/2015,0
1/30/2015,0
1/31/2015,0
2/01/2015,0
2/02/2015,0
2/03/2015,0
2/04/2015,0
2/05/2015,0
2/06/2015,0
2/07/2015,0
2/08/2015,0
2/09/2015,0
2/10/2015,0
2/11/2015,0
2/12/2015,0
2/13/2015,0
2/14/2015,0
2/15/2015,0
2/16/2015,0
2/17/2015,0
2/18/2015,0
2/19/2015,0
2/20/2015,0
2/21/2015,0
2/22/2015,0
2/23/2015,0
2/24/2015,0
2/25/2015,0
2/26/2015,0
2/27/2015,0
2/28/2015,0
3/01/2015,0
3/02/2015,0
3/03/2015,0
3/04/2015,0
3/05/2015,0
3/06/2015,0
3/07/2015,0
3/08/2015,0
3/09/2015,0
3/10/2015,0
3/11/2015,0
3/12/2015,0
3/13/2015,0
3/14/2015,0
3/15/2015,0
3/16/2015,0
3/17/2015,0
3/18/2015,0
3/19/2015,0
3/20/2015,0
3/21/2015,0
3/22/2015,0
3/23/2015,0
3/24/2015,0
3/25/2015,0
3/26/2015,0
3/27/2015,0
3/28/2015,0
3/29/2015,0
3/30/2015,0
3/31/2015,0
4/01/2015,0
4/02/2015,0
4/03/2015,0
4/04/2015,0
4/05/2015,0
4/06/2015,0
4/07/2015,0
4/08/2015,0
4/09/2015,0
4/10/2015,0
4/11/2015,0
4/12/2015,0
4/13/2015,0
4/14/2015,0
4/15/2015,0
4/16/2015,0
4/17/2015,0
4/18/2015,0
4/19/2015,0
4/20/2015,0
4/21/2015,0
4/22/2015,0
4/23/2015,0
4/24/2015,0
4/25/2015,0
4/26/2015,0
4/27/2015,0
4/28/2015,0
4/29/2015,0
4/30/2015,6.87
5/01/2015,6.31
5/02/2015,0.87
5/03/2015,0
5/04/2015,0
5/05/2015,0
5/06/2015,0
5/07/2015,0
5/08/2015,0
5/09/2015,0
5/10/2015,0
5/11/2015,0
5/12/2015,0
5/13/2015,0
5/14/2015,0
5/15/2015,0
5/16/2015,0
5/17/2015,0.7
5/18/2015,0
5/19/2015,0
5/20/2015,0
5/21/2015,0
5/22/2015,0
5/23/2015,0
5/24/2015,0
5/25/2015,0
5/26/2015,0
5/27/2015,0
5/28/2015,0
5/29/2015,0
5/30/2015,0
5/31/2015,0
6/01/2015,0
6/02/2015,50.39
6/03/2015,17.4
6/04/2015,1.15
6/05/2015,2.27
6/06/2015,8.88
6/07/2015,1
6/08/2015,1.45
6/09/2015,19.62
6/10/2015,22.22
6/11/2015,22.01
6/12/2015,0.07
6/13/2015,0.06
6/14/2015,0
6/15/2015,0
6/16/2015,0
6/17/2015,0
6/18/2015,0
6/19/2015,0
6/20/2015,0
6/21/2015,0
6/22/2015,0
6/23/2015,0
6/24/2015,0
6/25/2015,0
6/26/2015,0
6/27/2015,0
6/28/2015,0
6/29/2015,0
6/30/2015,0
7/01/2015,0
7/02/2015,0
7/03/2015,0
7/04/2015,0
7/05/2015,0
7/06/2015,0
7/07/2015,0
7/08/2015,1.25
7/09/2015,0
7/10/2015,0.03
7/11/2015,0
7/12/2015,0
7/13/2015,0
7/14/2015,0
7/15/2015,0
7/16/2015,0
7/17/2015,0
7/18/2015,9.19
7/19/2015,0
7/20/2015,0
7/21/2015,0
7/22/2015,0.07
7/23/2015,0.21
7/24/2015,0
7/25/2015,0
7/26/2015,0
7/27/2015,0
7/28/2015,0
7/29/2015,0
7/30/2015,0
7/31/2015,0
8/01/2015,0
8/02/2015,0
8/03/2015,0
8/04/2015,0
8/05/2015,0
8/06/2015,0
8/07/2015,0
8/08/2015,0
8/09/2015,1.33
8/10/2015,3
8/11/2015,0
8/12/2015,0
8/13/2015,0
8/14/2015,0.1
8/15/2015,0
8/16/2015,0.51
8/17/2015,0
8/18/2015,0
8/19/2015,0
8/20/2015,0
8/21/2015,0.39
8/22/2015,3.31
8/23/2015,0
8/24/2015,0
8/25/2015,0
8/26/2015,0
8/27/2015,0
8/28/2015,0
8/29/2015,0
8/30/2015,0
8/31/2015,1.68
9/01/2015,0
9/02/2015,0
9/03/2015,0
9/04/2015,0
9/05/2015,0
9/06/2015,0
9/07/2015,0
9/08/2015,0
9/09/2015,0.3
9/10/2015,0
9/11/2015,0
9/12/2015,4.49
9/13/2015,0
9/14/2015,0
9/15/2015,0
9/16/2015,0
9/17/2015,0.09
9/18/2015,8.31
9/19/2015,0
9/20/2015,0
9/21/2015,13.7
9/22/2015,0
9/23/2015,38.01
9/24/2015,1.99
9/25/2015,0.17
9/26/2015,39.2
9/27/2015,14.47
9/28/2015,0.04
9/29/2015,0.75
9/30/2015,2.07
10/01/2015,1.57
10/02/2015,1.14
10/03/2015,0.14
10/04/2015,16.86
10/05/2015,0
10/06/2015,0
10/07/2015,0.31
10/08/2015,0
10/09/2015,0
10/10/2015,0
10/11/2015,4.84
10/12/2015,23.82
10/13/2015,1.76
10/14/2015,31.03
10/15/2015,7.95
10/16/2015,17.52
10/17/2015,9.61
10/18/2015,0
10/19/2015,13.18
10/20/2015,14.91
10/21/2015,6.58
10/22/2015,0
10/23/2015,0
10/24/2015,1.46
10/25/2015,0.81
10/26/2015,0
10/27/2015,0.23
10/28/2015,10.71
10/29/2015,0
10/30/2015,0.03
10/31/2015,0
11/01/2015,0.93
11/02/2015,0
11/03/2015,0
11/04/2015,0.07
11/05/2015,6.52
11/06/2015,0.4
11/07/2015,0
11/08/2015,0
11/09/2015,0
11/10/2015,0
11/11/2015,0
11/12/2015,0
11/13/2015,0
11/14/2015,0
11/15/2015,0
11/16/2015,1.36
11/17/2015,7.45
11/18/2015,2.99
11/19/2015,14.75
11/20/2015,4.07
11/21/2015,0
11/22/2015,0
11/23/2015,0
11/24/2015,0
11/25/2015,0
11/26/2015,0
11/27/2015,0
11/28/2015,0
11/29/2015,0
11/30/2015,0
12/01/2015,0
12/02/2015,0
12/03/2015,0
12/04/2015,0
12/05/2015,0
12/06/2015,0
12/07/2015,0
12/08/2015,0
12/09/2015,0
12/10/2015,0
12/11/2015,0
12/12/2015,0
12/13/2015,0
12/14/2015,0
12/15/2015,0
12/16/2015,0
12/17/2015,0
12/18/2015,0
12/19/2015,0
12/20/2015,0
12/21/2015,0
12/22/2015,0
12/23/2015,0
12/24/2015,0
12/25/2015,0
12/26/2015,0
12/27/2015,0
12/28/2015,0
12/29/2015,0
12/30/2015,0
12/31/2015,0
1/01/2016,0
1/02/2016,0
1/03/2016,0
1/04/2016,0
1/05/2016,0
1/06/2016,0
1/07/2016,0
1/08/2016,0
1/09/2016,0
1/10/2016,0
1/11/2016,0
1/12/2016,0
1/13/2016,0
1/14/2016,0
1/15/2016,0
1/16/2016,0
1/17/2016,0
1/18/2016,0
1/19/2016,0
1/20/2016,0
1/21/2016,0
1/22/2016,0
1/23/2016,0
1/24/2016,0
1/25/2016,0
1/26/2016,0
1/27/2016,0
1/28/2016,0
1/29/2016,0
1/30/2016,0
1/31/2016,0
2/01/2016,0
2/02/2016,0
2/03/2016,0
2/04/2016,0
2/05/2016,0
2/06/2016,0
2/07/2016,0
2/08/2016,0
2/09/2016,0
2/10/2016,0
2/11/2016,0
2/12/2016,0
2/13/2016,0
2/14/2016,0
2/15/2016,0
2/16/2016,0
2/17/2016,0
2/18/2016,0
2/19/2016,0
2/20/2016,0
2/21/2016,0
2/22/2016,0
2/23/2016,0
2/24/2016,0
2/25/2016,0
2/26/2016,0
2/27/2016,0
2/28/2016,0
2/29/2016,0
3/01/2016,0
3/02/2016,0
3/03/2016,0
3/04/2016,0
3/05/2016,0
3/06/2016,0
3/07/2016,0
3/08/2016,0
3/09/2016,0
3/10/2016,0
3/11/2016,0
3/12/2016,0
3/13/2016,0
3/14/2016,0
3/15/2016,0
3/16/2016,0
3/17/2016,0
3/18/2016,0
3/19/2016,0
3/20/2016,0
3/21/2016,0
3/22/2016,0
3/23/2016,0
3/24/2016,0
3/25/2016,0
3/26/2016,0
3/27/2016,0
3/28/2016,0
3/29/2016,0
3/30/2016,0
3/31/2016,0
4/01/2016,0
4/02/2016,0
4/03/2016,0
4/04/2016,0
4/05/2016,0
4/06/2016,0
4/07/2016,0
4/08/2016,0
4/09/2016,0
4/10/2016,0
4/11/2016,0
4/12/2016,0
4/13/2016,0
4/14/2016,0
4/15/2016,0
4/16/2016,0
4/17/2016,0
4/18/2016,0
4/19/2016,0
4/20/2016,0
4/21/2016,0
4/22/2016,0
4/23/2016,0
4/24/2016,0.2
4/25/2016,0
4/26/2016,29.71
4/27/2016,2.18
4/28/2016,0.36
4/29/2016,8.87
4/30/2016,0
5/01/2016,24.39
5/02/2016,4.51
5/03/2016,0.83
5/04/2016,1.35
5/05/2016,0.45
5/06/2016,14.29
5/07/2016,0
5/08/2016,0
5/09/2016,0
5/10/2016,0
5/11/2016,0
5/12/2016,0
5/13/2016,0
5/14/2016,0
5/15/2016,1.8
5/16/2016,0
5/17/2016,0.01
5/18/2016,0
5/19/2016,0
5/20/2016,0
5/21/2016,0
5/22/2016,0
5/23/2016,4.51
5/24/2016,0
5/25/2016,0
5/26/2016,0
5/27/2016,0.48
5/28/2016,0
5/29/2016,12.74
5/30/2016,5.11
5/31/2016,9.48
6/01/2016,5.96
6/02/2016,9.21
6/03/2016,8.85
6/04/2016,51.76
6/05/2016,32.11
6/06/2016,2.55
6/07/2016,1.86
6/08/2016,28.16
6/09/2016,0.31
6/10/2016,0.85
6/11/2016,19.99
6/12/2016,0
6/13/2016,0
6/14/2016,2.5
6/15/2016,4.63
6/16/2016,0
6/17/2016,0
6/18/2016,0
6/19/2016,0
6/20/2016,0.1
6/21/2016,4.08
6/22/2016,1.54
6/23/2016,0
6/24/2016,0
6/25/2016,0
6/26/2016,0
6/27/2016,0
6/28/2016,0
6/29/2016,0
6/30/2016,0.37
7/01/2016,5.34
7/02/2016,0
7/03/2016,0
7/04/2016,0
7/05/2016,0
7/06/2016,1.32
7/07/2016,0.06
7/08/2016,0
7/09/2016,0
7/10/2016,0
7/11/2016,0.86
7/12/2016,0.29
7/13/2016,0
7/14/2016,0.08
7/15/2016,0
7/16/2016,0
7/17/2016,0
7/18/2016,11.87
7/19/2016,0
7/20/2016,0
7/21/2016,0
7/22/2016,2.56
7/23/2016,0
7/24/2016,0
7/25/2016,0
7/26/2016,0
7/27/2016,0
7/28/2016,0
7/29/2016,2.87
7/30/2016,0
7/31/2016,0
8/01/2016,0
8/02/2016,2.16
8/03/2016,0.03
8/04/2016,0
8/05/2016,0
8/06/2016,0
8/07/2016,0
8/08/2016,0
8/09/2016,0
8/10/2016,0.08
8/11/2016,0
8/12/2016,0
8/13/2016,16.58
8/14/2016,0
8/15/2016,3.86
8/16/2016,0
8/17/2016,0
8/18/2016,0
8/19/2016,0
8/20/2016,0
8/21/2016,0
8/22/2016,0
8/23/2016,0
8/24/2016,0
8/25/2016,1.99
8/26/2016,8.16
8/27/2016,0
8/28/2016,9.61
8/29/2016,3.2
8/30/2016,30.31
8/31/2016,12.46
9/01/2016,9.34
9/02/2016,0.31
9/03/2016,0.05
9/04/2016,4.29
9/05/2016,5.05
9/06/2016,0.97
9/07/2016,0
9/08/2016,0
9/09/2016,0
9/10/2016,0
9/11/2016,34.31
9/12/2016,0.2
9/13/2016,9.28
9/14/2016,10.52
9/15/2016,2.56
9/16/2016,1.02
9/17/2016,0
9/18/2016,0
9/19/2016,0
9/20/2016,0
9/21/2016,1.7
9/22/2016,0
9/23/2016,0.03
9/24/2016,0.27
9/25/2016,0
9/26/2016,0
9/27/2016,0
9/28/2016,1.32
9/29/2016,0
9/30/2016,0.29
10/01/2016,1.2
10/02/2016,0.03
10/03/2016,9.63
10/04/2016,2.69
10/05/2016,7.73
10/06/2016,1.71
10/07/2016,8.9
10/08/2016,9.71
10/09/2016,7.8
10/10/2016,0
10/11/2016,0
10/12/2016,0
10/13/2016,7.15
10/14/2016,1.1
10/15/2016,6.37
10/16/2016,5.96
10/17/2016,44.83
10/18/2016,36.5
10/19/2016,18.83
10/20/2016,15.83
10/21/2016,4.04
10/22/2016,0
10/23/2016,0
10/24/2016,0
10/25/2016,7.53
10/26/2016,0.77
10/27/2016,0
10/28/2016,1.39
10/29/2016,0.13
10/30/2016,0.41
10/31/2016,2.22
11/01/2016,26.58
11/02/2016,7.59
11/03/2016,0.43
11/04/2016,1.85
11/05/2016,0
11/06/2016,0
11/07/2016,0
11/08/2016,0
11/09/2016,0
11/10/2016,0
11/11/2016,0
11/12/2016,0
11/13/2016,0
11/14/2016,0
11/15/2016,1.78
11/16/2016,0
11/17/2016,0
11/18/2016,0
11/19/2016,0
11/20/2016,0
11/21/2016,0
11/22/2016,0
11/23/2016,0
11/24/2016,6.9
11/25/2016,1.65
11/26/2016,8.25
11/27/2016,0
11/28/2016,0
11/29/2016,0
11/30/2016,0
12/01/2016,0
12/02/2016,0
12/03/2016,0
12/04/2016,6.33
12/05/2016,0.48
12/06/2016,0
12/07/2016,0
12/08/2016,0
12/09/2016,0
12/10/2016,0.97
12/11/2016,0
12/12/2016,0.1
12/13/2016,0.33
12/14/2016,0
12/15/2016,0
12/16/2016,0
12/17/2016,0
12/18/2016,0
12/19/2016,0
12/20/2016,0
12/21/2016,0
12/22/2016,0
12/23/2016,0
12/24/2016,0
12/25/2016,0.56
12/26/2016,0
12/27/2016,0
12/28/2016,0
12/29/2016,0
12/30/2016,0
12/31/2016,0
1/01/2017,0
1/02/2017,0
1/03/2017,0
1/04/2017,0
