VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,KgN Ha,Edad Corte,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.53,138.06,11.05,91.16,110.00,81.65
 CP00-1101 ,3.00, 2.20 , Franco Arcilloso , Goteo ,0.27,154.87,11.97,107.33,110.00,93.26
 CP72-2086 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.36,150.10,11.44,150.63,130.00,125.06
 CP00-1101 ,3.00, 2.20 , Franco Arcilloso , Goteo ,0.31,155.21,11.97,103.12,90.23,90.66
 CP72-2086 ,2.00, 2.20 , Franco , Goteo ,0.32,166.26,11.54,132.57,141.00,121.08
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,0.35,172.53,11.47,148.42,120.00,110.28
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,0.16,103.16,11.18,80.43,85.00,64.82
 Otras ,3.00, 2.20 , Franco , Goteo ,0.29,132.33,11.21,87.17,91.00,88.19
 Otras ,3.00, 2.20 , Franco , Goteo ,0.35,152.16,11.08,94.47,90.00,51.87
 CP88-1165 ,8.00, 2.60 , Franco Arcillo Arenoso , Goteo ,0.11,143.54,9.63,103.81,112.00,77.82
 CP72-2086 ,6.00, 1.90 , Franco Arcillo Arenoso , Goteo ,0.39,151.52,9.63,102.60,105.00,122.59
 CP72-2086 ,2.00, 2.60 , Franco Arcillo Arenoso , Goteo ,0.11,150.06,9.60,133.81,130.00,123.71
 CG04-10295 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.10,137.75,9.66,108.34,115.00,109.40
 CG04-10295 ,2.00, 1.90 , Franco Arcillo Arenoso , Goteo ,0.31,145.32,10.49,142.64,125.00,105.10
 CP72-2086 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.24,150.65,10.45,114.44,115.00,82.84
 CP72-2086 ,3.00, 2.20 , Franco Arcilloso , Goteo ,0.49,152.27,10.49,85.75,105.00,72.82
 CG04-10295 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.19,118.35,11.24,95.79,115.00,84.76
 CP72-2086 ,5.00, 1.90 , Franco Arcillo Arenoso , Goteo ,0.48,150.37,12.36,200.11,90.00,81.76
 CP72-2086 ,5.00, 1.90 , Arcilloso , Goteo ,0.48,140.28,10.49,90.18,95.00,75.75
 NA56-42 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.32,146.85,10.49,74.64,95.00,125.71
 CG04-10295 ,1.00, 1.65 , Franco Arenoso , Gravedad ,0.15,125.09,11.05,134.33,121.00,108.38
 CP08-2256 ,5.00, 1.40 , Franco Arenoso , Gravedad ,0.30,112.28,11.21,134.13,110.00,107.61
 CG04-10295 ,1.00, 1.65 , Franco Arcillo Arenoso , Gravedad ,0.08,95.03,10.95,122.16,115.00,79.60
 CP72-2086 ,4.00, 1.50 , Franco Arcilloso , Gravedad ,0.36,126.29,12.26,114.80,116.00,89.39
 CG04-10295 ,1.00, 1.65 , Franco Arenoso , Gravedad ,0.16,120.26,10.95,117.94,115.00,91.36
 Otras ,4.00, 1.00 , Franco Arcilloso , Gravedad ,0.46,134.91,11.01,125.70,102.00,84.99
 NA56-42 ,7.00, 1.75 , Franco Arenoso , Gravedad ,0.36,124.47,12.36,82.46,107.00,100.22
 CG04-10295 ,1.00, 1.65 , Franco Arenoso , Gravedad ,0.16,128.03,11.11,106.68,110.00,118.03
 CG04-10295 ,1.00, 1.65 , Franco Arcillo Arenoso , Gravedad ,0.06,123.26,10.95,113.90,115.00,88.38
 CP72-2086 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.34,138.77,10.91,91.68,122.00,87.76
 NA56-42 ,10.00, 2.60 , Arcilloso , Goteo ,0.20,128.69,10.85,83.43,117.00,93.61
 CG04-10295 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.14,87.83,11.64,124.78,100.00,86.11
 RB86-7515 ,1.00, 2.20 , Arcilloso , Goteo ,0.07,135.34,8.91,150.90,100.00,97.64
 CP72-2086 ,2.00, 2.60 , Arcilloso , Goteo ,0.25,73.46,10.16,54.75,130.00,120.65
 NA56-42 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.38,117.99,11.60,114.19,91.00,82.73
 CP72-2086 ,7.00, 1.90 , Franco Arcilloso , Goteo ,0.50,117.68,10.42,110.49,100.00,116.02
 NA56-42 ,2.00, 2.60 , Franco Arcilloso , Goteo ,0.51,106.21,9.89,79.24,95.00,94.52
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.22,138.04,9.86,79.32,125.00,113.90
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.71,82.84,10.78,94.61,110.00,64.53
 NA56-42 ,7.00, 1.90 , Franco Arcillo Arenoso , Goteo ,0.49,150.10,10.72,91.77,118.00,86.64
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.50,67.73,11.28,99.88,110.00,84.45
 NA56-42 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.55,150.19,10.75,80.47,90.00,84.76
 CP73-1547 ,13.00, 1.40 , Franco Arcillo Arenoso , Gravedad ,0.35,103.27,12.23,88.40,85.00,84.28
 CP72-2086 ,8.00, 1.50 , Franco Arcilloso , Goteo ,0.36,132.46,11.51,253.96,90.00,94.07
 CP72-2086 ,6.00, 1.90 , Franco Arcillo Arenoso , Goteo ,0.29,122.04,11.51,132.42,112.00,96.19
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.27,150.13,11.31,96.50,105.00,83.77
 NA56-42 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.29,150.27,11.34,128.45,120.00,110.08
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.21,132.22,10.91,142.87,120.00,92.16
 NA56-42 ,6.00, 1.90 , Franco Arcillo Arenoso , Goteo ,0.37,142.53,11.41,147.42,120.00,99.63
 NA56-42 ,5.00, 2.20 , Franco Arenoso , Goteo ,0.45,123.53,9.73,73.70,110.00,81.28
 CP00-1101 ,6.00, 2.20 , Franco Arcilloso , Goteo ,0.50,155.69,11.08,106.73,123.00,116.83
