"CODLOTE","FINCA","CAMPO","TIPOCORTE","VARIEDAD","MADURANTE","TIPOMAD","TCHREAL","ccMAD","DIASMAD","EDAD","DIASSUP","MESCORTE","CORE"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","73.00","12.32741617357","39","Ene","117.260"
"51034","Loma Alegre","B24","MECANIZADA","RB867515","Si","GLIFOSATO ALEMAN","95.6045","13.597686301377","53.00","11.176857330703","11","Ene","134.590"
"57029","El Apante","B06","MANUAL","CP722086","Si","GLIFOSATO ALEMAN","96.896283783784","10.836328897226","53.00","12.919132149901","0","Ene","145.570"
"57067","El Apante","C01","MANUAL","Otras","Si","GLIFOSATO ALEMAN","74.193484848485","13.613055136345","53.00","10.552268244576","0","Ene","168.820"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","52.00","11.63708086785","18","Ene","146.150"
"51034","Loma Alegre","B24","MECANIZADA","RB867515","Si","GLIFOSATO ALEMAN","95.6045","13.597686301377","53.00","11.176857330703","11","Ene","124.570"
"51034","Loma Alegre","B24","MECANIZADA","RB867515","Si","GLIFOSATO ALEMAN","95.6045","13.597686301377","53.00","11.176857330703","11","Ene","122.130"
"57029","El Apante","B06","MANUAL","CP722086","Si","GLIFOSATO ALEMAN","96.896283783784","10.836328897226","53.00","12.919132149901","0","Ene","126.180"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","73.00","12.32741617357","39","Ene","133.680"
"51034","Loma Alegre","B24","MECANIZADA","RB867515","Si","GLIFOSATO ALEMAN","95.6045","13.597686301377","53.00","11.176857330703","11","Ene","119.210"
"51034","Loma Alegre","B24","MECANIZADA","RB867515","Si","GLIFOSATO ALEMAN","95.6045","13.597686301377","53.00","11.176857330703","11","Ene","116.870"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","52.00","11.63708086785","18","Ene","140.240"
"51034","Loma Alegre","B24","MECANIZADA","RB867515","Si","GLIFOSATO ALEMAN","95.6045","13.597686301377","53.00","11.176857330703","11","Ene","121.330"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","152.120"
"97001","La Banqueta","LB01","MECANIZADA","CP892143","Si","GLIFOSATO ALEMAN","79.051383067896","16.445000068923","55.00","11.176857330703","58","Ene","137.070"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","46.00","11.111111111111","11","Ene","123.160"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","74.00","12.360289283366","40","Ene","132.620"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","143.950"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","74.00","12.360289283366","40","Ene","134.820"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","146.320"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","124.020"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","137.470"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","123.950"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","74.00","12.360289283366","40","Ene","127.810"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","125.950"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","128.830"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","125.360"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","134.300"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","141.430"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","141.660"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","144.480"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","146.650"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","74.00","12.360289283366","40","Ene","133.070"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","74.00","12.360289283366","40","Ene","135.160"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","140.190"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","132.020"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","74.00","12.360289283366","40","Ene","136.530"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","141.400"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","141.950"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","74.00","12.360289283366","40","Ene","131.500"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","145.040"
"57029","El Apante","B06","MANUAL","CP722086","Si","GLIFOSATO ALEMAN","96.896283783784","10.836328897226","54.00","12.952005259698","0","Ene","157.240"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","145.540"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","147.280"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","133.650"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","142.230"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","74.00","12.360289283366","40","Ene","124.100"
"57029","El Apante","B06","MANUAL","CP722086","Si","GLIFOSATO ALEMAN","96.896283783784","10.836328897226","54.00","12.952005259698","0","Ene","158.630"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","134.700"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","134.370"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","136.300"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","134.210"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","135.240"
"57029","El Apante","B06","MANUAL","CP722086","Si","GLIFOSATO ALEMAN","96.896283783784","10.836328897226","54.00","12.952005259698","0","Ene","146.730"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","74.00","12.360289283366","40","Ene","122.600"
"16740","Sucuya","16740","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","64.697536394177","19.166108465787","74.00","12.360289283366","40","Ene","132.420"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","142.590"
"57073","El Apante","D01","MANUAL","Otras","No","NO APLICADO","59.091515151515","0","0.00","9.4345825115056","0","Ene","159.330"
"51029","Loma Alegre","B19","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","87.206856634016","10.320289421474","47.00","11.143984220907","12","Ene","133.400"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","53.00","11.669953977646","19","Ene","142.250"
"16740","Sucuya","16740","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","64.697536394177","19.166108465787","74.00","12.360289283366","40","Ene","119.550"
"57029","El Apante","B06","MANUAL","CP722086","Si","GLIFOSATO ALEMAN","96.896283783784","10.836328897226","54.00","12.952005259698","0","Ene","163.800"
"51023","Loma Alegre","B13","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","94.748567335244","9.4988243654976","47.00","11.143984220907","13","Ene","139.940"
"51023","Loma Alegre","B13","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","94.748567335244","9.4988243654976","47.00","11.143984220907","13","Ene","134.280"
"16740","Sucuya","16740","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","64.697536394177","19.166108465787","74.00","12.360289283366","40","Ene","125.340"
"16740","Sucuya","16740","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","64.697536394177","19.166108465787","74.00","12.360289283366","40","Ene","105.910"
"51023","Loma Alegre","B13","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","94.748567335244","9.4988243654976","48.00","11.176857330703","14","Ene","134.560"
"51023","Loma Alegre","B13","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","94.748567335244","9.4988243654976","48.00","11.176857330703","14","Ene","130.820"
"16740","Sucuya","16740","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","64.697536394177","19.166108465787","75.00","12.393162393162","41","Ene","131.310"
"73008","San Pedro","SP0201","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","68.56819047619","16.334104666054","54.00","11.867192636423","21","Ene","143.540"
"51023","Loma Alegre","B13","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","94.748567335244","9.4988243654976","48.00","11.176857330703","14","Ene","130.180"
"51023","Loma Alegre","B13","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","94.748567335244","9.4988243654976","48.00","11.176857330703","14","Ene","137.700"
"16740","Sucuya","16740","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","64.697536394177","19.166108465787","75.00","12.393162393162","41","Ene","134.990"
"73008","San Pedro","SP0201","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","68.56819047619","16.334104666054","54.00","11.867192636423","21","Ene","135.890"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","54.00","11.702827087442","20","Ene","133.230"
"73008","San Pedro","SP0201","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","68.56819047619","16.334104666054","54.00","11.867192636423","21","Ene","143.900"
"16740","Sucuya","16740","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","64.697536394177","19.166108465787","75.00","12.393162393162","41","Ene","136.850"
"51023","Loma Alegre","B13","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","94.748567335244","9.4988243654976","48.00","11.176857330703","14","Ene","127.410"
"16740","Sucuya","16740","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","64.697536394177","19.166108465787","75.00","12.393162393162","41","Ene","130.710"
"51016","Loma Alegre","B06","MECANIZADA","CP722086","Si","TRINEXAPAC ","102.6476702509","15.392458456564","48.00","11.143984220907","11","Ene","126.490"
"51016","Loma Alegre","B06","MECANIZADA","CP722086","Si","TRINEXAPAC ","102.6476702509","15.392458456564","48.00","11.143984220907","11","Ene","132.990"
"51016","Loma Alegre","B06","MECANIZADA","CP722086","Si","TRINEXAPAC ","102.6476702509","15.392458456564","48.00","11.143984220907","11","Ene","129.250"
"16710","Sucuya","16710","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","91.018878812861","14.28275119355","75.00","12.426035502959","41","Ene","126.850"
"51016","Loma Alegre","B06","MECANIZADA","CP722086","Si","TRINEXAPAC ","102.6476702509","15.392458456564","48.00","11.143984220907","11","Ene","127.590"
"51016","Loma Alegre","B06","MECANIZADA","CP722086","Si","TRINEXAPAC ","102.6476702509","15.392458456564","48.00","11.143984220907","11","Ene","132.260"
"73008","San Pedro","SP0201","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","68.56819047619","16.334104666054","54.00","11.867192636423","21","Ene","144.620"
"73008","San Pedro","SP0201","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","68.56819047619","16.334104666054","54.00","11.867192636423","21","Ene","148.130"
"51016","Loma Alegre","B06","MECANIZADA","CP722086","Si","TRINEXAPAC ","102.6476702509","15.392458456564","48.00","11.143984220907","11","Ene","132.050"
"51016","Loma Alegre","B06","MECANIZADA","CP722086","Si","TRINEXAPAC ","102.6476702509","15.392458456564","48.00","11.143984220907","11","Ene","132.030"
"73008","San Pedro","SP0201","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","68.56819047619","16.334104666054","54.00","11.867192636423","21","Ene","145.440"
"16710","Sucuya","16710","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","91.018878812861","14.28275119355","75.00","12.426035502959","41","Ene","127.660"
"51016","Loma Alegre","B06","MECANIZADA","CP722086","Si","TRINEXAPAC ","102.6476702509","15.392458456564","48.00","11.143984220907","11","Ene","128.480"
"73008","San Pedro","SP0201","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","68.56819047619","16.334104666054","54.00","11.867192636423","21","Ene","148.910"
"51016","Loma Alegre","B06","MECANIZADA","CP722086","Si","TRINEXAPAC ","102.6476702509","15.392458456564","48.00","11.143984220907","11","Ene","128.950"
"16710","Sucuya","16710","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","91.018878812861","14.28275119355","75.00","12.426035502959","41","Ene","127.500"
"16710","Sucuya","16710","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","91.018878812861","14.28275119355","75.00","12.426035502959","41","Ene","124.980"
"73008","San Pedro","SP0201","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","68.56819047619","16.334104666054","54.00","11.867192636423","21","Ene","139.160"
"16710","Sucuya","16710","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","91.018878812861","14.28275119355","75.00","12.426035502959","41","Ene","130.440"
"16710","Sucuya","16710","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","91.018878812861","14.28275119355","75.00","12.426035502959","41","Ene","117.720"
